mat_path,mat_ts,camera_path,camera_ts
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:47.535000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:47.532278
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:47.696000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:47.686233
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:47.825000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:47.835133
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:47.987000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:47.983933
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:48.116000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:48.108251
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:48.278000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:48.265320
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:48.409000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:48.424581
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:48.538000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:48.542027
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:48.699000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:48.683818
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:48.828000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:48.841514
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:48.966000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:48.954866
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:49.096000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:49.093978
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:49.257000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:49.266273
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:49.386000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:49.380348
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:49.548000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:49.536064
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:49.678000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:49.673092
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:49.807000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:49.797251
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:49.969000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:49.957770
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:50.131000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:50.116461
../2025-07-03/pm_adl/s/2damss.csv,2024-06-11T09:55:50.228000+01:00,../2025-07-03/ir_adl/s/2damss,2024-06-11T09:55:50.232634
