"2024-06-12T10:51:58","2024-06-12T10:52:05","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/84","84"
"2024-06-12T10:53:29","2024-06-12T10:53:53","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/85","85"
"2024-06-12T10:54:57","2024-06-12T10:54:52","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/86","86"
"2024-06-12T10:55:56","2024-06-12T10:55:59","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/87","87"
"2024-06-12T10:59:38","2024-06-12T10:59:32","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/88","88"
"2024-06-12T11:01:17","2024-06-12T11:01:24","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/89","89"
"2024-06-12T11:02:44","2024-06-12T11:02:45","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/90","90"
"2024-06-12T11:04:55","2024-06-12T11:04:51","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/91","91"
"2024-06-12T11:09:27","2024-06-12T11:12:09","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/92","92"
"2024-06-12T13:21:38","2024-06-12T13:21:38","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/6","6"
"2024-06-12T13:22:59","2024-06-12T13:22:46","data/camera_data/Marion/ADL/Dataset MB11_06 IRADL/16","16"
"2024-06-12T13:43:09","2024-06-12T13:43:08","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/1IRF","1IRF"
"2024-06-12T13:44:52","2024-06-12T13:44:43","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/2IRF","2IRF"
"2024-06-12T13:45:53","2024-06-12T13:45:50","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/3IRF","3IRF"
"2024-06-12T13:46:49","2024-06-12T13:46:54","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/4IRF","4IRF"
"2024-06-12T13:47:40","2024-06-12T13:47:46","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/5IRF","5IRF"
"2024-06-12T13:48:41","2024-06-12T13:48:38","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/6IRF","6IRF"
"2024-06-12T13:49:25","2024-06-12T13:49:26","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/7IRF","7IRF"
"2024-06-12T13:50:15","2024-06-12T13:50:14","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/8IRF","8IRF"
"2024-06-12T13:51:28","2024-06-12T13:51:25","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/9IRF","9IRF"
"2024-06-12T13:52:15","2024-06-12T13:52:14","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/10IRF","10IRF"
"2024-06-12T13:55:59","2024-06-12T13:56:02","data/camera_data/Marion/Falls/Dataset MB11_06 IRF/11IRF","11IRF"
