,path,s,n,a
6928,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4801.0,69,69.57971014492753
6929,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4821.0,70,68.87142857142857
6930,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4836.0,70,69.08571428571429
6931,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4834.0,70,69.05714285714286
6932,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4821.0,70,68.87142857142857
6933,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4816.0,69,69.79710144927536
6934,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4816.0,69,69.79710144927536
6935,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4813.0,69,69.7536231884058
6936,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4828.0,70,68.97142857142858
6937,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4824.0,70,68.91428571428571
6938,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4833.0,70,69.04285714285714
6939,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4809.0,69,69.69565217391305
6940,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4823.0,70,68.9
6941,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4816.0,70,68.8
6942,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4820.0,70,68.85714285714286
6943,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4811.0,69,69.72463768115942
6944,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4819.0,69,69.84057971014492
6945,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4839.0,70,69.12857142857143
6946,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4835.0,69,70.07246376811594
6947,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4822.0,69,69.8840579710145
6948,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4810.0,69,69.71014492753623
6949,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4820.0,70,68.85714285714286
6950,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4819.0,69,69.84057971014492
6951,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4828.0,70,68.97142857142858
6952,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4830.0,70,69.0
6953,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4825.0,70,68.92857142857143
6954,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4794.0,68,70.5
6955,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4828.0,70,68.97142857142858
6956,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4797.0,68,70.54411764705883
6957,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4774.0,68,70.20588235294117
6958,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4766.0,68,70.08823529411765
6959,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4752.0,67,70.92537313432835
6960,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4775.0,68,70.22058823529412
6961,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4797.0,69,69.52173913043478
6962,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4785.0,68,70.36764705882354
6963,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4792.0,68,70.47058823529412
6964,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4790.0,68,70.44117647058823
6965,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4795.0,68,70.51470588235294
6966,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4793.0,69,69.46376811594203
6967,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4788.0,67,71.46268656716418
6968,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4808.0,69,69.68115942028986
6969,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4798.0,69,69.53623188405797
6970,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4827.0,70,68.95714285714286
6971,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4787.0,68,70.3970588235294
6972,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4798.0,68,70.55882352941177
6973,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4810.0,69,69.71014492753623
6974,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4797.0,68,70.54411764705883
6975,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4820.0,69,69.85507246376811
6976,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4813.0,69,69.7536231884058
6977,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4792.0,68,70.47058823529412
6978,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4820.0,69,69.85507246376811
6979,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4790.0,68,70.44117647058823
6980,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4802.0,68,70.61764705882354
6981,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4810.0,69,69.71014492753623
6982,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4814.0,70,68.77142857142857
6983,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4801.0,68,70.6029411764706
6984,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4837.0,70,69.1
6985,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4828.0,70,68.97142857142858
6986,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4820.0,69,69.85507246376811
6987,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4816.0,69,69.79710144927536
6988,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4789.0,67,71.4776119402985
6989,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4802.0,69,69.59420289855072
6990,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4812.0,69,69.73913043478261
6991,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4812.0,70,68.74285714285715
6992,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4811.0,69,69.72463768115942
6993,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4833.0,70,69.04285714285714
6994,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4796.0,67,71.58208955223881
6995,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4821.0,70,68.87142857142857
6996,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4801.0,68,70.6029411764706
6997,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4798.0,68,70.55882352941177
6998,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4821.0,69,69.8695652173913
6999,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4807.0,68,70.69117647058823
7000,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4815.0,69,69.78260869565217
7001,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4811.0,68,70.75
7002,data/mat_data/Blaine\Falls PM\BLFPM33\b33.csv,4828.0,69,69.97101449275362
